car name,mpg,cylinders,displacement,horsepower,acceleration,model year,origin
mazda rx2 coupe,19,3,70,97,13.5,72,ERUOPE
amc matador (sw),15,8,304,150,12.5,72,USA
chevrolet chevelle concours (sw),13,8,307,130,14,72,USA
ford gran torino (sw),13,8,302,140,16,72,USA
plymouth satellite custom (sw),14,8,318,150,14,72,USA
volvo 145e (sw),18,4,121,112,14.5,72,IND
volkswagen 411 (sw),22,4,121,76,18,72,IND
peugeot 504 (sw),21,4,120,87,19.5,72,IND
renault 12 (sw),26,4,96,69,18,72,IND
ford pinto (sw),22,4,122,86,16,72,USA
datsun 510 (sw),28,4,97,92,17,72,ERUOPE
toyouta corona mark ii (sw),23,4,120,97,14.5,72,ERUOPE
dodge colt (sw),28,4,98,80,15,72,USA
toyota corolla 1600 (sw),27,4,97,88,16.5,72,ERUOPE
buick century 350,13,8,350,175,13,73,USA
amc matador,14,8,304,150,11.5,73,USA
chevrolet malibu,13,8,350,145,13,73,USA
ford gran torino,14,8,302,137,14.5,73,USA
dodge coronet custom,15,8,318,150,12.5,73,USA
mercury marquis brougham,12,8,429,198,11.5,73,USA
chevrolet caprice classic,13,8,400,150,12,73,USA
ford ltd,13,8,351,158,13,73,USA
plymouth fury gran sedan,14,8,318,150,14.5,73,USA
chrysler new yorker brougham,13,8,440,215,11,73,USA
buick electra 225 custom,12,8,455,225,11,73,USA
amc ambassador brougham,13,8,360,175,11,73,USA
plymouth valiant,18,6,225,105,16.5,73,USA
chevrolet nova custom,16,6,250,100,18,73,USA
amc hornet,18,6,232,100,16,73,USA
ford maverick,18,6,250,88,16.5,73,USA
plymouth duster,23,6,198,95,16,73,USA
volkswagen super beetle,26,4,97,46,21,73,IND
chevrolet impala,11,8,400,150,14,73,USA
ford country,12,8,400,167,12.5,73,USA
plymouth custom suburb,13,8,360,170,13,73,USA
oldsmobile vista cruiser,12,8,350,180,12.5,73,USA
amc gremlin,18,6,232,100,15,73,USA
toyota carina,20,4,97,88,19,73,ERUOPE
chevrolet vega,21,4,140,72,19.5,73,USA
datsun 610,22,4,108,94,16.5,73,ERUOPE
maxda rx3,18,3,70,90,13.5,73,ERUOPE
ford pinto,19,4,122,85,18.5,73,USA
mercury capri v6,21,6,155,107,14,73,USA
fiat 124 sport coupe,26,4,98,90,15.5,73,IND
chevrolet monte carlo s,15,8,350,145,13,73,USA
pontiac grand prix,16,8,400,230,9.5,73,USA
fiat 128,29,4,68,49,19.5,73,IND
opel manta,24,4,116,75,15.5,73,IND
audi 100ls,20,4,114,91,14,73,IND
volvo 144ea,19,4,121,112,15.5,73,IND
dodge dart custom,15,8,318,150,11,73,USA
saab 99le,24,4,121,110,14,73,IND
toyota mark ii,20,6,156,122,13.5,73,ERUOPE
oldsmobile omega,11,8,350,180,11,73,USA
plymouth duster,20,6,198,95,16.5,74,USA
ford maverick,21,6,200,?,17,74,USA
amc hornet,19,6,232,100,16,74,USA
chevrolet nova,15,6,250,100,17,74,USA
datsun b210,31,4,79,67,19,74,ERUOPE
ford pinto,26,4,122,80,16.5,74,USA
toyota corolla 1200,32,4,71,65,21,74,ERUOPE
chevrolet vega,25,4,140,75,17,74,USA
chevrolet chevelle malibu classic,16,6,250,100,17,74,USA
amc matador,16,6,258,110,18,74,USA
plymouth satellite sebring,18,6,225,105,16.5,74,USA
ford gran torino,16,8,302,140,14,74,USA
buick century luxus (sw),13,8,350,150,14.5,74,USA
dodge coronet custom (sw),14,8,318,150,13.5,74,USA
ford gran torino (sw),14,8,302,140,16,74,USA
amc matador (sw),14,8,304,150,15.5,74,USA
audi fox,29,4,98,83,16.5,74,IND
volkswagen dasher,26,4,79,67,15.5,74,IND
opel manta,26,4,97,78,14.5,74,IND
toyota corona,31,4,76,52,16.5,74,ERUOPE
datsun 710,32,4,83,61,19,74,ERUOPE
dodge colt,28,4,90,75,14.5,74,USA
fiat 128,24,4,90,75,15.5,74,IND
fiat 124 tc,26,4,116,75,14,74,IND
honda civic,24,4,120,97,15,74,ERUOPE
subaru,26,4,108,93,15.5,74,ERUOPE
fiat x1.9,31,4,79,67,16,74,IND
plymouth valiant custom,19,6,225,95,16,75,USA
chevrolet nova,18,6,250,105,16,75,USA
mercury monarch,15,6,250,72,21,75,USA
ford maverick,15,6,250,72,19.5,75,USA
pontiac catalina,16,8,400,170,11.5,75,USA
chevrolet bel air,15,8,350,145,14,75,USA
plymouth grand fury,16,8,318,150,14.5,75,USA
ford ltd,14,8,351,148,13.5,75,USA
buick century,17,6,231,110,21,75,USA
chevroelt chevelle malibu,16,6,250,105,18.5,75,USA
amc matador,15,6,258,110,19,75,USA
plymouth fury,18,6,225,95,19,75,USA
buick skyhawk,21,6,231,110,15,75,USA
chevrolet monza 2+2,20,8,262,110,13.5,75,USA
ford mustang ii,13,8,302,129,12,75,USA
toyota corolla,29,4,97,75,16,75,ERUOPE
ford pinto,23,4,140,83,17,75,USA
amc gremlin,20,6,232,100,16,75,USA
pontiac astro,23,4,140,78,18.5,75,USA
toyota corona,24,4,134,96,13.5,75,ERUOPE
volkswagen dasher,25,4,90,71,16.5,75,IND
datsun 710,24,4,119,97,17,75,ERUOPE
ford pinto,18,6,171,97,14.5,75,USA
volkswagen rabbit,29,4,90,70,14,75,IND
amc pacer,19,6,232,90,17,75,USA
audi 100ls,23,4,115,95,15,75,IND
peugeot 504,23,4,120,88,17,75,IND
volvo 244dl,22,4,121,98,14.5,75,IND
saab 99le,25,4,121,115,13.5,75,IND
honda civic cvcc,33,4,91,53,17.5,75,ERUOPE
fiat 131,28,4,107,86,15.5,76,IND
opel 1900,25,4,116,81,16.9,76,IND
capri ii,25,4,140,92,14.9,76,USA
dodge colt,26,4,98,79,17.7,76,USA
renault 12tl,27,4,101,83,15.3,76,IND
chevrolet chevelle malibu classic,17.5,8,305,140,13,76,USA
dodge coronet brougham,16,8,318,150,13,76,USA
amc matador,15.5,8,304,120,13.9,76,USA
ford gran torino,14.5,8,351,152,12.8,76,USA
plymouth valiant,22,6,225,100,15.4,76,USA
chevrolet nova,22,6,250,105,14.5,76,USA
ford maverick,24,6,200,81,17.6,76,USA
amc hornet,22.5,6,232,90,17.6,76,USA
chevrolet chevette,29,4,85,52,22.2,76,USA
chevrolet woody,24.5,4,98,60,22.1,76,USA
vw rabbit,29,4,90,70,14.2,76,IND
honda civic,33,4,91,53,17.4,76,ERUOPE
dodge aspen se,20,6,225,100,17.7,76,USA
ford granada ghia,18,6,250,78,21,76,USA
pontiac ventura sj,18.5,6,250,110,16.2,76,USA
amc pacer d/l,17.5,6,258,95,17.8,76,USA
volkswagen rabbit,29.5,4,97,71,12.2,76,IND
datsun b-210,32,4,85,70,17,76,ERUOPE
toyota corolla,28,4,97,75,16.4,76,ERUOPE
ford pinto,26.5,4,140,72,13.6,76,USA
volvo 245,20,4,130,102,15.7,76,IND
plymouth volare premier v8,13,8,318,150,13.2,76,USA
peugeot 504,19,4,120,88,21.9,76,IND
toyota mark ii,19,6,156,108,15.5,76,ERUOPE
mercedes-benz 280s,16.5,6,168,120,16.7,76,IND
cadillac seville,16.5,8,350,180,12.1,76,USA
chevy c10,13,8,350,145,12,76,USA
ford f108,13,8,302,130,15,76,USA
dodge d100,13,8,318,150,14,76,USA
honda accord cvcc,31.5,4,98,68,18.5,77,ERUOPE
buick opel isuzu deluxe,30,4,111,80,14.8,77,USA
renault 5 gtl,36,4,79,58,18.6,77,IND
plymouth arrow gs,25.5,4,122,96,15.5,77,USA
datsun f-10 hatchback,33.5,4,85,70,16.8,77,ERUOPE
chevrolet caprice classic,17.5,8,305,145,12.5,77,USA
oldsmobile cutlass supreme,17,8,260,110,19,77,USA
dodge monaco brougham,15.5,8,318,145,13.7,77,USA
mercury cougar brougham,15,8,302,130,14.9,77,USA
chevrolet concours,17.5,6,250,110,16.4,77,USA
buick skylark,20.5,6,231,105,16.9,77,USA
plymouth volare custom,19,6,225,100,17.7,77,USA
ford granada,18.5,6,250,98,19,77,USA
pontiac grand prix lj,16,8,400,180,11.1,77,USA
chevrolet monte carlo landau,15.5,8,350,170,11.4,77,USA
chrysler cordoba,15.5,8,400,190,12.2,77,USA
ford thunderbird,16,8,351,149,14.5,77,USA
volkswagen rabbit custom,29,4,97,78,14.5,77,IND
pontiac sunbird coupe,24.5,4,151,88,16,77,USA
toyota corolla liftback,26,4,97,75,18.2,77,ERUOPE
ford mustang ii 2+2,25.5,4,140,89,15.8,77,USA
chevrolet chevette,30.5,4,98,63,17,77,USA
dodge colt m/m,33.5,4,98,83,15.9,77,USA
subaru dl,30,4,97,67,16.4,77,ERUOPE
volkswagen dasher,30.5,4,97,78,14.1,77,IND
datsun 810,22,6,146,97,14.5,77,ERUOPE
bmw 320i,21.5,4,121,110,12.8,77,IND
mazda rx-4,21.5,3,80,110,13.5,77,ERUOPE
volkswagen rabbit custom diesel,43.1,4,90,48,21.5,78,IND
ford fiesta,36.1,4,98,66,14.4,78,USA
mazda glc deluxe,32.8,4,78,52,19.4,78,ERUOPE
datsun b210 gx,39.4,4,85,70,18.6,78,ERUOPE
honda civic cvcc,36.1,4,91,60,16.4,78,ERUOPE
oldsmobile cutlass salon brougham,19.9,8,260,110,15.5,78,USA
dodge diplomat,19.4,8,318,140,13.2,78,USA
mercury monarch ghia,20.2,8,302,139,12.8,78,USA
pontiac phoenix lj,19.2,6,231,105,19.2,78,USA
chevrolet malibu,20.5,6,200,95,18.2,78,USA
ford fairmont (auto),20.2,6,200,85,15.8,78,USA
ford fairmont (man),25.1,4,140,88,15.4,78,USA
plymouth volare,20.5,6,225,100,17.2,78,USA
amc concord,19.4,6,232,90,17.2,78,USA
buick century special,20.6,6,231,105,15.8,78,USA
mercury zephyr,20.8,6,200,85,16.7,78,USA
dodge aspen,18.6,6,225,110,18.7,78,USA
amc concord d/l,18.1,6,258,120,15.1,78,USA
chevrolet monte carlo landau,19.2,8,305,145,13.2,78,USA
buick regal sport coupe (turbo),17.7,6,231,165,13.4,78,USA
ford futura,18.1,8,302,139,11.2,78,USA
dodge magnum xe,17.5,8,318,140,13.7,78,USA
chevrolet chevette,30,4,98,68,16.5,78,USA
toyota corona,27.5,4,134,95,14.2,78,ERUOPE
datsun 510,27.2,4,119,97,14.7,78,ERUOPE
dodge omni,30.9,4,105,75,14.5,78,USA
toyota celica gt liftback,21.1,4,134,95,14.8,78,ERUOPE
plymouth sapporo,23.2,4,156,105,16.7,78,USA
oldsmobile starfire sx,23.8,4,151,85,17.6,78,USA
datsun 200-sx,23.9,4,119,97,14.9,78,ERUOPE
audi 5000,20.3,5,131,103,15.9,78,IND
volvo 264gl,17,6,163,125,13.6,78,IND
saab 99gle,21.6,4,121,115,15.7,78,IND
peugeot 604sl,16.2,6,163,133,15.8,78,IND
volkswagen scirocco,31.5,4,89,71,14.9,78,IND
honda accord lx,29.5,4,98,68,16.6,78,ERUOPE
pontiac lemans v6,21.5,6,231,115,15.4,79,USA
mercury zephyr 6,19.8,6,200,85,18.2,79,USA
ford fairmont 4,22.3,4,140,88,17.3,79,USA
amc concord dl 6,20.2,6,232,90,18.2,79,USA
dodge aspen 6,20.6,6,225,110,16.6,79,USA
chevrolet caprice classic,17,8,305,130,15.4,79,USA
ford ltd landau,17.6,8,302,129,13.4,79,USA
mercury grand marquis,16.5,8,351,138,13.2,79,USA
dodge st. regis,18.2,8,318,135,15.2,79,USA
buick estate wagon (sw),16.9,8,350,155,14.9,79,USA
ford country squire (sw),15.5,8,351,142,14.3,79,USA
chevrolet malibu classic (sw),19.2,8,267,125,15,79,USA
chrysler lebaron town @ country (sw),18.5,8,360,150,13,79,USA
vw rabbit custom,31.9,4,89,71,14,79,IND
maxda glc deluxe,34.1,4,86,65,15.2,79,ERUOPE
dodge colt hatchback custom,35.7,4,98,80,14.4,79,USA
amc spirit dl,27.4,4,121,80,15,79,USA
mercedes benz 300d,25.4,5,183,77,20.1,79,IND
cadillac eldorado,23,8,350,125,17.4,79,USA
peugeot 504,27.2,4,141,71,24.8,79,IND
oldsmobile cutlass salon brougham,23.9,8,260,90,22.2,79,USA
plymouth horizon,34.2,4,105,70,13.2,79,USA
plymouth horizon tc3,34.5,4,105,70,14.9,79,USA
datsun 210,31.8,4,85,65,19.2,79,ERUOPE
fiat strada custom,37.3,4,91,69,14.7,79,IND
buick skylark limited,28.4,4,151,90,16,79,USA
chevrolet citation,28.8,6,173,115,11.3,79,USA
oldsmobile omega brougham,26.8,6,173,115,12.9,79,USA
pontiac phoenix,33.5,4,151,90,13.2,79,USA
vw rabbit,41.5,4,98,76,14.7,80,IND
toyota corolla tercel,38.1,4,89,60,18.8,80,ERUOPE
chevrolet chevette,32.1,4,98,70,15.5,80,USA
datsun 310,37.2,4,86,65,16.4,80,ERUOPE
chevrolet citation,28,4,151,90,16.5,80,USA
ford fairmont,26.4,4,140,88,18.1,80,USA
amc concord,24.3,4,151,90,20.1,80,USA
dodge aspen,19.1,6,225,90,18.7,80,USA
audi 4000,34.3,4,97,78,15.8,80,IND
toyota corona liftback,29.8,4,134,90,15.5,80,ERUOPE
mazda 626,31.3,4,120,75,17.5,80,ERUOPE
datsun 510 hatchback,37,4,119,92,15,80,ERUOPE
toyota corolla,32.2,4,108,75,15.2,80,ERUOPE
mazda glc,46.6,4,86,65,17.9,80,ERUOPE
dodge colt,27.9,4,156,105,14.4,80,USA
datsun 210,40.8,4,85,65,19.2,80,ERUOPE
vw rabbit c (diesel),44.3,4,90,48,21.7,80,IND
vw dasher (diesel),43.4,4,90,48,23.7,80,IND
audi 5000s (diesel),36.4,5,121,67,19.9,80,IND
mercedes-benz 240d,30,4,146,67,21.8,80,IND
honda civic 1500 gl,44.6,4,91,67,13.8,80,ERUOPE
renault lecar deluxe,40.9,4,85,?,17.3,80,IND
subaru dl,33.8,4,97,67,18,80,ERUOPE
vokswagen rabbit,29.8,4,89,62,15.3,80,IND
datsun 280-zx,32.7,6,168,132,11.4,80,ERUOPE
mazda rx-7 gs,23.7,3,70,100,12.5,80,ERUOPE
triumph tr7 coupe,35,4,122,88,15.1,80,IND
ford mustang cobra,23.6,4,140,?,14.3,80,USA
honda accord,32.4,4,107,72,17,80,ERUOPE
plymouth reliant,27.2,4,135,84,15.7,81,USA
buick skylark,26.6,4,151,84,16.4,81,USA
dodge aries wagon (sw),25.8,4,156,92,14.4,81,USA
chevrolet citation,23.5,6,173,110,12.6,81,USA
plymouth reliant,30,4,135,84,12.9,81,USA
toyota starlet,39.1,4,79,58,16.9,81,ERUOPE
plymouth champ,39,4,86,64,16.4,81,USA
honda civic 1300,35.1,4,81,60,16.1,81,ERUOPE
subaru,32.3,4,97,67,17.8,81,ERUOPE
datsun 210 mpg,37,4,85,65,19.4,81,ERUOPE
toyota tercel,37.7,4,89,62,17.3,81,ERUOPE
mazda glc 4,34.1,4,91,68,16,81,ERUOPE
plymouth horizon 4,34.7,4,105,63,14.9,81,USA
ford escort 4w,34.4,4,98,65,16.2,81,USA
ford escort 2h,29.9,4,98,65,20.7,81,USA
volkswagen jetta,33,4,105,74,14.2,81,IND
renault 18i,34.5,4,100,?,15.8,81,IND
honda prelude,33.7,4,107,75,14.4,81,ERUOPE
toyota corolla,32.4,4,108,75,16.8,81,ERUOPE
datsun 200sx,32.9,4,119,100,14.8,81,ERUOPE
mazda 626,31.6,4,120,74,18.3,81,ERUOPE
peugeot 505s turbo diesel,28.1,4,141,80,20.4,81,IND
volvo diesel,30.7,6,145,76,19.6,81,IND
toyota cressida,25.4,6,168,116,12.6,81,ERUOPE
datsun 810 maxima,24.2,6,146,120,13.8,81,ERUOPE
buick century,22.4,6,231,110,15.8,81,USA
oldsmobile cutlass ls,26.6,8,350,105,19,81,USA
ford granada gl,20.2,6,200,88,17.1,81,USA
chrysler lebaron salon,17.6,6,225,85,16.6,81,USA
chevrolet cavalier,28,4,112,88,19.6,82,USA
chevrolet cavalier wagon,27,4,112,88,18.6,82,USA
chevrolet cavalier 2-door,34,4,112,88,18,82,USA
pontiac j2000 se hatchback,31,4,112,85,16.2,82,USA
dodge aries se,29,4,135,84,16,82,USA
pontiac phoenix,27,4,151,90,18,82,USA
ford fairmont futura,24,4,140,92,16.4,82,USA
amc concord dl,23,4,151,?,20.5,82,USA
volkswagen rabbit l,36,4,105,74,15.3,82,IND
mazda glc custom l,37,4,91,68,18.2,82,ERUOPE
mazda glc custom,31,4,91,68,17.6,82,ERUOPE
plymouth horizon miser,38,4,105,63,14.7,82,USA
mercury lynx l,36,4,98,70,17.3,82,USA
nissan stanza xe,36,4,120,88,14.5,82,ERUOPE
honda accord,36,4,107,75,14.5,82,ERUOPE
toyota corolla,34,4,108,70,16.9,82,ERUOPE
honda civic,38,4,91,67,15,82,ERUOPE
honda civic (auto),32,4,91,67,15.7,82,ERUOPE
datsun 310 gx,38,4,91,67,16.2,82,ERUOPE
buick century limited,25,6,181,110,16.4,82,USA
oldsmobile cutlass ciera (diesel),38,6,262,85,17,82,USA
chrysler lebaron medallion,26,4,156,92,14.5,82,USA
ford granada l,22,6,232,112,14.7,82,USA
toyota celica gt,32,4,144,96,13.9,82,ERUOPE
dodge charger 2.2,36,4,135,84,13,82,USA
chevrolet camaro,27,4,151,90,17.3,82,USA
ford mustang gl,27,4,140,86,15.6,82,USA
vw pickup,44,4,97,52,24.6,82,IND
dodge rampage,32,4,135,84,11.6,82,USA
ford ranger,28,4,120,79,18.6,82,USA
chevy s-10,31,4,119,82,19.4,82,USA
